 


County Details for Maximum Temperature (F)
Champaign County, IL

Date,CHAMPAIGN 3S,CHAMPAIGN 9 SW,CHAMPAIGN URBANA WILLARD AP,OGDEN,RANTOUL,RANTOUL CHANUTE AFB,
2018-01-14,24,23,23,21,27,27,
2018-01-15,25,26,26,22,19,19,
2018-01-16,7,8,8,24,20,20,
2018-01-17,17,17,17,11,20,20,
2018-01-18,32,31,31,20,30,30,
2018-01-19,39,38,38,30,28,28,
2018-01-20,41,42,42,39,41,41,
2018-01-21,51,53,51,41,43,43,
2018-01-22,55,55,55,50,60,60,
2018-01-23,37,37,38,55,36,36,
2018-01-24,29,30,30,34,39,39,
2018-01-25,49,47,47,29,49,49,
2018-01-26,53,54,53,48,47,47,
2018-01-27,53,52,52,53,53,53,
2018-01-28,51,50,50,52,51,51,
2018-01-29,30,30,32,51,30,30,
2018-01-30,33,32,32,31,40,40,
2018-01-31,46,47,47,33,43,43,
2018-02-01,36,34,34,45,25,25,
2018-02-02,23,23,22,35,26,26,
2018-02-03,40,40,40,24,35,35,
2018-02-04,36,37,37,39,42,42,
2018-02-05,20,20,20,35,26,26,
2018-02-06,17,16,16,20,20,20,
2018-02-07,22,21,21,18,23,23,
2018-02-08,30,31,32,22,21,21,
2018-02-09,48,48,47,33,32,32,
2018-02-10,27,28,28,45,27,27,
2018-02-11,25,25,25,26,26,26,
2018-02-12,31,31,32,26,26,26,
2018-02-13,42,42,41,31,31,31,
2018-02-14,51,51,51,42,42,42,
2018-02-15,62,61,62,52,56,56,
2018-02-16,41,40,41,61,62,62,
2018-02-17,35,35,35,37,41,41,
2018-02-18,47,46,46,35,35,35,
2018-02-19,62,62,62,47,66,66,
2018-02-20,65,65,65,61,58,58,
2018-02-21,34,35,35,65,66,66,
2018-02-22,45,44,44,35,41,41,
2018-02-23,46,46,46,45,46,46,
2018-02-24,55,55,55,47,54,54,
2018-02-25,48,47,48,55,54,54,
2018-02-26,56,55,54,47,56,56,
2018-02-27,63,62,62,53,59,59,
2018-02-28,56,54,54,63,59,59,
2018-03-01,51,52,52,56,56,56,
2018-03-02,48,47,48,49,44,44,
2018-03-03,52,51,50,47,48,48,
2018-03-04,54,54,54,51,50,50,
2018-03-05,41,41,41,54,53,53,
2018-03-06,47,46,46,41,44,44,
2018-03-07,39,37,37,43,36,36,
2018-03-08,35,34,34,37,32,32,
2018-03-09,42,41,42,33,38,38,
2018-03-10,46,46,47,42,43,43,
2018-03-11,41,42,42,47,44,44,
2018-03-12,45,M,46,43,43,43,
2018-03-13,40,41,42,44,46,46,
2018-03-14,49,49,49,41,44,44,
2018-03-15,56,56,56,48,50,50,
2018-03-16,47,47,48,57,57,57,
2018-03-17,38,38,38,47,46,46,
