 


County Details for Minimum Temperature (F)
Champaign County, IL

Date,CHAMPAIGN 3S,CHAMPAIGN 9 SW,CHAMPAIGN URBANA WILLARD AP,OGDEN,RANTOUL,RANTOUL CHANUTE AFB,
2018-01-14,2,3,2,4,16,16,
2018-01-15,-1,-2,-1,3,2,2,
2018-01-16,-5,-5,-5,-3,-5,-5,
2018-01-17,-2,-7,-5,-3,4,4,
2018-01-18,12,8,12,-2,16,16,
2018-01-19,20,18,19,13,17,17,
2018-01-20,28,29,28,21,19,19,
2018-01-21,37,38,37,30,37,37,
2018-01-22,36,34,36,39,32,32,
2018-01-23,28,30,29,33,26,26,
2018-01-24,22,23,22,29,23,23,
2018-01-25,23,24,26,23,32,32,
2018-01-26,30,32,34,26,30,30,
2018-01-27,28,29,29,34,28,28,
2018-01-28,26,29,28,31,27,27,
2018-01-29,19,18,16,30,12,12,
2018-01-30,13,13,12,15,24,24,
2018-01-31,29,30,30,14,23,23,
2018-02-01,11,12,11,32,7,7,
2018-02-02,5,6,4,8,9,9,
2018-02-03,22,23,22,6,24,24,
2018-02-04,6,-1,3,24,23,23,
2018-02-05,-7,-10,-10,-2,3,3,
2018-02-06,5,-8,-2,-3,11,11,
2018-02-07,9,3,6,-0,7,7,
2018-02-08,5,3,2,7,5,5,
2018-02-09,27,28,28,12,18,18,
2018-02-10,20,21,21,26,9,9,
2018-02-11,14,13,13,24,8,8,
2018-02-12,10,9,9,11,8,8,
2018-02-13,18,16,18,10,16,16,
2018-02-14,30,30,30,19,30,30,
2018-02-15,41,40,41,35,32,32,
2018-02-16,23,23,22,36,33,33,
2018-02-17,21,22,22,23,20,20,
2018-02-18,20,21,21,22,21,21,
2018-02-19,42,43,43,22,35,35,
2018-02-20,34,34,35,47,35,35,
2018-02-21,30,31,31,32,30,30,
2018-02-22,31,32,32,32,29,29,
2018-02-23,36,37,37,33,40,40,
2018-02-24,36,37,37,37,43,43,
2018-02-25,29,31,32,34,41,41,
2018-02-26,27,29,29,30,30,30,
2018-02-27,32,32,34,30,36,36,
2018-02-28,44,44,45,34,40,40,
2018-03-01,33,33,32,45,40,40,
2018-03-02,31,30,29,30,28,28,
2018-03-03,28,28,28,29,28,28,
2018-03-04,29,30,29,30,29,29,
2018-03-05,32,32,31,29,28,28,
2018-03-06,27,29,27,30,30,30,
2018-03-07,26,26,26,29,28,28,
2018-03-08,21,22,22,23,20,20,
2018-03-09,21,22,21,22,20,20,
2018-03-10,28,28,28,23,25,25,
2018-03-11,29,25,24,28,30,30,
2018-03-12,27,M,24,26,24,24,
2018-03-13,23,20,20,26,23,23,
2018-03-14,19,17,17,20,25,25,
2018-03-15,31,25,26,20,18,18,
2018-03-16,25,26,25,17,23,23,
2018-03-17,30,29,29,25,29,29,
2018-03-18,26,24,25,27,24,24,
2018-03-19,37,35,35,26,35,35,
2018-03-20,28,29,29,31,27,27,
2018-03-21,26,24,26,29,25,25,
2018-03-22,23,19,20,24,22,22,
2018-03-23,31,28,31,23,28,28,
2018-03-24,29,30,30,31,20,20,
2018-03-25,23,24,23,25,28,28,
2018-03-26,28,29,28,22,28,28,
2018-03-27,39,40,40,28,36,36,
2018-03-28,39,39,40,40,37,37,
2018-03-29,38,37,38,40,42,42,
2018-03-30,34,33,33,34,33,33,
2018-03-31,32,35,35,34,35,35,
2018-04-01,23,15,22,30,26,26,
2018-04-02,14,4,12,20,10,10,
2018-04-03,34,35,35,19,32,32,
2018-04-04,26,27,27,30,26,26,
2018-04-05,23,25,24,26,24,24,
2018-04-06,26,26,26,26,35,35,
2018-04-07,21,21,21,23,27,27,
2018-04-08,24,20,19,22,20,20,
2018-04-09,30,30,31,23,24,24,
2018-04-10,28,27,28,31,26,26,
2018-04-11,31,33,33,31,33,33,
2018-04-12,52,49,53,33,45,45,
2018-04-13,56,58,58,52,59,59,
2018-04-14,50,50,50,57,38,38,
2018-04-15,32,33,33,48,41,41,
2018-04-16,27,28,28,30,26,26,
2018-04-17,28,30,29,29,28,28,
2018-04-18,32,32,32,30,30,30,
2018-04-19,33,30,33,32,32,32,
2018-04-20,30,25,28,29,29,29,
2018-04-21,41,39,39,29,40,40,
2018-04-22,46,47,47,41,44,44,
2018-04-23,45,47,47,45,44,44,
2018-04-24,48,46,47,45,49,49,
2018-04-25,41,40,42,47,42,42,
2018-04-26,35,31,35,34,35,35,
2018-04-27,42,40,41,34,40,40,
2018-04-28,37,35,36,38,35,35,
2018-04-29,31,26,30,31,29,29,
2018-04-30,36,33,33,31,41,41,
2018-05-01,45,45,50,39,51,51,
2018-05-02,63,61,62,48,63,63,
2018-05-03,61,62,63,63,48,48,
2018-05-04,54,53,54,62,52,52,
2018-05-05,50,50,52,53,55,55,
2018-05-06,53,51,53,53,43,43,
2018-05-07,50,47,49,48,55,55,
2018-05-08,51,48,50,47,53,53,
2018-05-09,53,55,54,53,54,54,
2018-05-10,55,56,56,57,58,58,
2018-05-11,59,59,59,57,55,55,
2018-05-12,58,58,60,61,55,55,
2018-05-13,58,56,59,60,65,65,
2018-05-14,63,64,64,60,54,54,
2018-05-15,57,58,58,67,55,55,
2018-05-16,57,55,58,57,59,59,
2018-05-17,60,59,62,58,61,61,
2018-05-18,62,64,64,60,64,64,
2018-05-19,63,64,64,64,63,63,
2018-05-20,58,60,60,64,62,62,
2018-05-21,58,61,60,60,56,56,
2018-05-22,61,M,62,62,66,66,
2018-05-23,55,55,57,57,55,55,
2018-05-24,60,59,59,57,60,60,
2018-05-25,60,59,63,63,68,68,
2018-05-26,68,68,68,64,72,72,
2018-05-27,67,69,68,70,71,71,
2018-05-28,66,66,67,70,72,72,
2018-05-29,69,70,71,70,70,70,
2018-05-30,70,70,71,72,63,63,
2018-05-31,67,66,68,68,69,69,
2018-06-01,61,61,62,66,65,65,
2018-06-02,55,56,56,56,54,54,
2018-06-03,61,56,57,56,64,64,
2018-06-04,56,51,53,56,54,54,
2018-06-05,56,55,55,55,59,59,
2018-06-06,53,51,54,55,53,53,
2018-06-07,64,64,66,54,58,58,
2018-06-08,67,67,68,67,67,67,
2018-06-09,66,66,67,68,67,67,
2018-06-10,64,65,65,65,65,65,
2018-06-11,65,66,66,65,65,65,
2018-06-12,66,67,68,66,65,65,
2018-06-13,63,59,61,67,69,69,
2018-06-14,60,58,60,61,62,62,
2018-06-15,65,66,66,61,66,66,
2018-06-16,70,69,70,65,67,67,
2018-06-17,71,71,73,72,69,69,
2018-06-18,74,73,74,74,75,75,
2018-06-19,70,70,71,75,70,70,
2018-06-20,70,69,70,71,67,67,
2018-06-21,64,65,65,71,62,62,
2018-06-22,64,64,64,65,61,61,
2018-06-23,63,63,64,64,63,63,
2018-06-24,61,59,60,62,63,63,
2018-06-25,62,62,64,62,62,62,
2018-06-26,68,68,68,64,64,64,
2018-06-27,65,65,66,68,67,67,
2018-06-28,66,63,65,67,65,65,
2018-06-29,68,68,68,67,70,70,
2018-06-30,72,71,73,71,74,74,
2018-07-01,70,72,72,74,73,73,
2018-07-02,70,68,70,72,71,71,
2018-07-03,70,69,70,71,71,71,
2018-07-04,71,71,71,71,72,72,
2018-07-05,71,70,70,73,75,75,
2018-07-06,61,61,61,70,69,69,
2018-07-07,58,58,57,58,57,57,
2018-07-08,58,55,57,57,60,60,
2018-07-09,65,63,65,60,68,68,
2018-07-10,70,65,70,66,72,72,
2018-07-11,66,60,62,62,63,63,
2018-07-12,64,63,63,62,67,67,
2018-07-13,63,60,62,65,65,65,
2018-07-14,67,66,66,64,67,67,
2018-07-15,70,69,68,68,74,74,
2018-07-16,71,71,71,70,64,64,
2018-07-17,66,64,65,69,65,65,
2018-07-18,62,58,59,61,60,60,
2018-07-19,60,59,60,61,60,60,
2018-07-20,68,66,67,62,64,64,
2018-07-21,66,66,66,68,62,62,
2018-07-22,66,66,66,67,63,63,
2018-07-23,63,62,61,61,60,60,
2018-07-24,64,59,61,63,63,63,
2018-07-25,66,59,60,64,60,60,
2018-07-26,63,58,59,64,64,64,
2018-07-27,58,53,56,60,68,68,
2018-07-28,57,52,55,59,69,69,
2018-07-29,59,56,58,58,69,69,
2018-07-30,62,60,63,60,71,71,
2018-07-31,61,58,59,62,70,70,
2018-08-01,59,55,57,60,57,57,
2018-08-02,60,59,62,60,59,59,
2018-08-03,65,61,64,62,60,60,
2018-08-04,67,65,67,68,64,64,
2018-08-05,67,67,70,69,60,60,
2018-08-06,69,71,71,70,66,66,
2018-08-07,67,66,68,69,64,64,
2018-08-08,68,62,65,69,61,61,
2018-08-09,63,58,61,65,65,65,
2018-08-10,68,65,67,63,64,64,
2018-08-11,67,61,65,68,63,63,
2018-08-12,63,59,61,65,65,65,
2018-08-13,65,58,60,64,67,67,
2018-08-14,61,57,60,64,63,63,
2018-08-15,69,69,70,64,70,70,
2018-08-16,69,68,69,71,68,68,
2018-08-17,68,67,68,67,65,65,
2018-08-18,67,65,65,67,65,65,
2018-08-19,66,62,66,65,63,63,
2018-08-20,68,68,69,64,64,64,
2018-08-21,66,64,65,68,60,60,
2018-08-22,59,54,57,62,57,57,
2018-08-23,56,51,53,58,60,60,
2018-08-24,59,58,58,56,60,60,
2018-08-25,62,62,63,61,73,73,
2018-08-26,73,73,74,67,74,74,
2018-08-27,72,71,72,73,67,67,
2018-08-28,72,72,73,72,62,62,
2018-08-29,68,64,65,70,62,62,
2018-08-30,63,62,62,65,56,56,
2018-08-31,60,59,60,63,54,54,
2018-09-01,68,68,68,62,57,57,
