 


County Details for Mean Temperature (F)
Champaign County, IL

Date,CHAMPAIGN 3S,CHAMPAIGN 9 SW,CHAMPAIGN URBANA WILLARD AP,OGDEN,RANTOUL,RANTOUL CHANUTE AFB,
2018-01-14,13.0,13.0,12.5,12.5,21.5,21.5,
2018-01-15,12.0,12.0,12.5,12.5,10.5,10.5,
2018-01-16,1.0,1.5,1.5,10.5,7.5,7.5,
2018-01-17,7.5,5.0,6.0,4.0,12.0,12.0,
2018-01-18,22.0,19.5,21.5,9.0,23.0,23.0,
2018-01-19,29.5,28.0,28.5,21.5,22.5,22.5,
2018-01-20,34.5,35.5,35.0,30.0,30.0,30.0,
2018-01-21,44.0,45.5,44.0,35.5,40.0,40.0,
2018-01-22,45.5,44.5,45.5,44.5,46.0,46.0,
2018-01-23,32.5,33.5,33.5,44.0,31.0,31.0,
2018-01-24,25.5,26.5,26.0,31.5,31.0,31.0,
2018-01-25,36.0,35.5,36.5,26.0,40.5,40.5,
2018-01-26,41.5,43.0,43.5,37.0,38.5,38.5,
2018-01-27,40.5,40.5,40.5,43.5,40.5,40.5,
2018-01-28,38.5,39.5,39.0,41.5,39.0,39.0,
2018-01-29,24.5,24.0,24.0,40.5,21.0,21.0,
2018-01-30,23.0,22.5,22.0,23.0,32.0,32.0,
2018-01-31,37.5,38.5,38.5,23.5,33.0,33.0,
2018-02-01,23.5,23.0,22.5,38.5,16.0,16.0,
2018-02-02,14.0,14.5,13.0,21.5,17.5,17.5,
2018-02-03,31.0,31.5,31.0,15.0,29.5,29.5,
2018-02-04,21.0,18.0,20.0,31.5,32.5,32.5,
2018-02-05,6.5,5.0,5.0,16.5,14.5,14.5,
2018-02-06,11.0,4.0,7.0,8.5,15.5,15.5,
2018-02-07,15.5,12.0,13.5,9.0,15.0,15.0,
2018-02-08,17.5,17.0,17.0,14.5,13.0,13.0,
2018-02-09,37.5,38.0,37.5,22.5,25.0,25.0,
2018-02-10,23.5,24.5,24.5,35.5,18.0,18.0,
2018-02-11,19.5,19.0,19.0,25.0,17.0,17.0,
2018-02-12,20.5,20.0,20.5,18.5,17.0,17.0,
2018-02-13,30.0,29.0,29.5,20.5,23.5,23.5,
2018-02-14,40.5,40.5,40.5,30.5,36.0,36.0,
2018-02-15,51.5,50.5,51.5,43.5,44.0,44.0,
2018-02-16,32.0,31.5,31.5,48.5,47.5,47.5,
2018-02-17,28.0,28.5,28.5,30.0,30.5,30.5,
2018-02-18,33.5,33.5,33.5,28.5,28.0,28.0,
2018-02-19,52.0,52.5,52.5,34.5,50.5,50.5,
2018-02-20,49.5,49.5,50.0,54.0,46.5,46.5,
2018-02-21,32.0,33.0,33.0,48.5,48.0,48.0,
2018-02-22,38.0,38.0,38.0,33.5,35.0,35.0,
2018-02-23,41.0,41.5,41.5,39.0,43.0,43.0,
2018-02-24,45.5,46.0,46.0,42.0,48.5,48.5,
2018-02-25,38.5,39.0,40.0,44.5,47.5,47.5,
2018-02-26,41.5,42.0,41.5,38.5,43.0,43.0,
2018-02-27,47.5,47.0,48.0,41.5,47.5,47.5,
2018-02-28,50.0,49.0,49.5,48.5,49.5,49.5,
2018-03-01,42.0,42.5,42.0,50.5,48.0,48.0,
2018-03-02,39.5,38.5,38.5,39.5,36.0,36.0,
2018-03-03,40.0,39.5,39.0,38.0,38.0,38.0,
2018-03-04,41.5,42.0,41.5,40.5,39.5,39.5,
2018-03-05,36.5,36.5,36.0,41.5,40.5,40.5,
2018-03-06,37.0,37.5,36.5,35.5,37.0,37.0,
2018-03-07,32.5,31.5,31.5,36.0,32.0,32.0,
2018-03-08,28.0,28.0,28.0,30.0,26.0,26.0,
2018-03-09,31.5,31.5,31.5,27.5,29.0,29.0,
2018-03-10,37.0,37.0,37.5,32.5,34.0,34.0,
2018-03-11,35.0,33.5,33.0,37.5,37.0,37.0,
2018-03-12,36.0,M,35.0,34.5,33.5,33.5,
2018-03-13,31.5,30.5,31.0,35.0,34.5,34.5,
2018-03-14,34.0,33.0,33.0,30.5,34.5,34.5,
2018-03-15,43.5,40.5,41.0,34.0,34.0,34.0,
2018-03-16,36.0,36.5,36.5,37.0,40.0,40.0,
2018-03-17,34.0,33.5,33.5,36.0,37.5,37.5,
2018-03-18,39.5,38.5,39.0,32.5,34.0,34.0,
2018-03-19,47.0,46.0,46.5,40.0,44.5,44.5,
2018-03-20,34.0,35.5,35.5,44.0,41.0,41.0,
2018-03-21,36.0,35.0,36.5,35.5,35.0,35.0,
2018-03-22,37.5,35.0,36.0,35.5,39.0,39.0,
2018-03-23,41.0,39.5,41.0,37.0,41.0,41.0,
2018-03-24,34.0,34.5,34.5,43.5,31.0,31.0,
2018-03-25,31.5,32.0,31.5,29.0,32.0,32.0,
2018-03-26,39.0,40.0,39.5,31.5,36.5,36.5,
2018-03-27,47.0,48.0,48.0,39.0,44.5,44.5,
2018-03-28,45.5,44.5,45.5,47.5,45.0,45.0,
2018-03-29,43.5,43.0,43.5,45.5,47.5,47.5,
2018-03-30,43.0,42.0,42.0,40.5,41.5,41.5,
2018-03-31,43.0,45.0,44.5,42.0,44.0,44.0,
2018-04-01,29.5,25.5,29.0,42.0,42.0,42.0,
2018-04-02,27.5,22.5,27.0,27.5,23.5,23.5,
2018-04-03,50.0,51.0,51.0,31.5,37.5,37.5,
2018-04-04,30.0,31.0,31.0,48.0,43.0,43.0,
2018-04-05,36.5,37.0,37.0,30.0,32.0,32.0,
2018-04-06,34.5,34.5,35.0,37.5,42.5,42.5,
2018-04-07,30.0,30.0,30.5,33.0,34.0,34.0,
2018-04-08,33.0,31.0,30.5,31.0,32.0,32.0,
2018-04-09,35.0,35.0,35.5,32.0,32.0,32.0,
2018-04-10,36.5,35.5,36.0,36.0,35.5,35.5,
2018-04-11,49.0,49.5,50.5,37.5,44.0,44.0,
2018-04-12,64.5,63.5,66.5,49.5,58.0,58.0,
2018-04-13,64.0,65.5,66.0,64.5,69.5,69.5,
2018-04-14,58.0,58.0,58.5,64.5,56.0,56.0,
2018-04-15,41.0,41.5,41.5,57.5,53.5,53.5,
