 


County Details for Precipitation (in)
Champaign County, IL

Date,BROADLANDS 0.1 SSW,CHAMPAIGN 0.3 ESE,CHAMPAIGN 0.3 NNW,CHAMPAIGN 0.6 NNE,CHAMPAIGN 0.7 SW,CHAMPAIGN 0.9 NE,CHAMPAIGN 1.2 S,CHAMPAIGN 1.3 SSW,CHAMPAIGN 1.5 SSE,CHAMPAIGN 1.7 SW,CHAMPAIGN 2.2 S,CHAMPAIGN 2.5 S,CHAMPAIGN 2.9 SW,CHAMPAIGN 3.0 N,CHAMPAIGN 3.5 SSE,CHAMPAIGN 3.6 W,CHAMPAIGN 3.7 WSW,CHAMPAIGN 3S,CHAMPAIGN 4.8 SSW,CHAMPAIGN 9 SW,CHAMPAIGN URBANA WILLARD AP,DEWEY 1.6 NNW,FISHER,HOMER 2.0 N,HOMER 2.0 NW,HOMER 2.0 WSW,HOMER 2.1 NNE,MAHOMET 1.2 S,MAHOMET 1.7 NNE,MAHOMET 5.5 NE,OGDEN,PHILO,PHILO 1.9 ENE,RANTOUL,RANTOUL CHANUTE AFB,SAVOY 0.6 SSE,SAVOY 0.9 N,SAVOY 2.6 WSW,SIDNEY 0.9 N,ST. JOSEPH 0.9 SSW,ST. JOSEPH 2.6 W,URBANA 0.1 SSE,URBANA 0.9 SSE,URBANA 2.3 SSE,URBANA 4.2 ESE,
2018-01-14,T,0.00,M,0.00,0.00,M,0.00,0.00,0.00,M,M,M,M,M,0.00,M,0.00,0.00,M,0.10,0.01,0.00,0.00,0.00,0.00,M,0.00,0.00,0.00,0.00,0.00,0.00,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
2018-01-15,M,0.23,M,0.19,0.19,M,0.25,0.17,0.19,M,M,M,M,M,0.21,M,0.20,0.14,M,0.08,0.02,0.23,0.24,0.19,0.22,M,0.16,0.25,0.28,0.11,0.06,0.19,M,0.54,0.54,0.25,0.18,0.22,0.23,0.17,0.16,0.24,0.16,0.23,0.18,
2018-01-16,M,T,M,T,0.01,M,T,0.01,0.01,M,M,M,M,M,0.01,M,T,T,M,0.02,T,T,T,T,0.01,M,T,T,T,T,T,T,M,0.00,0.00,T,0.01,T,T,T,T,0.01,0.01,T,T,
2018-01-17,0.02,T,M,T,T,M,0.02,0.01,0.01,M,M,M,M,M,0.01,M,T,T,M,0.00,0.00,T,T,T,T,M,T,T,T,T,T,T,M,0.00,0.00,T,0.01,T,T,T,0.00,T,T,0.01,T,
2018-01-18,0.00,0.00,M,0.00,0.00,M,0.00,0.00,0.00,M,M,M,M,M,0.00,M,0.00,0.00,M,0.00,0.00,0.00,0.00,0.00,0.00,M,0.00,0.00,0.00,0.00,0.00,0.00,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,M,0.00,
2018-01-19,0.00,0.00,M,0.00,0.00,M,0.00,0.00,0.00,M,M,M,M,M,0.00,M,0.00,0.00,M,0.00,0.00,0.00,0.00,0.00,0.00,M,0.00,0.00,0.00,0.00,0.00,0.00,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,M,0.00,
2018-01-20,0.00,0.00,M,0.00,0.00,M,0.00,0.00,0.00,M,M,M,M,M,0.00,M,0.00,0.00,M,0.00,0.00,0.00,0.00,0.00,0.00,M,0.00,0.00,M,0.00,0.00,0.00,M,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
2018-01-21,0.00,0.00,M,T,0.00,M,0.00,0.00,0.00,M,M,0.00,M,M,0.00,M,0.00,0.00,M,0.15,0.12,0.00,0.00,0.00,0.00,M,0.00,0.00,M,0.00,0.00,0.00,M,0.00,0.00,0.00,0.00,T,0.00,0.00,M,0.00,0.00,0.00,0.00,
2018-01-22,0.09,0.37,M,0.15,M,0.38,0.41,0.37,0.44,M,M,0.42,M,M,0.50,M,0.36,0.47,M,0.25,0.32,0.23,0.48,0.51,M,M,0.48,0.34,M,0.30,0.23,0.32,M,0.01,0.01,0.46,0.45,0.00,0.38,0.44,0.38,0.46,0.44,0.51,0.37,
2018-01-23,0.53,0.07,M,0.30,M,0.09,0.06,0.09,0.07,M,M,0.07,M,M,0.06,M,0.08,0.08,M,0.06,0.05,0.06,0.11,0.12,M,M,0.14,0.07,M,0.06,0.27,0.07,M,0.02,0.02,0.06,0.07,0.00,0.07,0.07,0.08,0.07,0.08,0.00,0.08,
